teryt_powiat,powiat,rok,typ,miara,populacja,zrodlo_var_id,zrodlo_url,pobrano
011212207000,Powiat limanowski,2021,historyczny,wiek_poprodukcyjny,21756,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212207000,Powiat limanowski,2022,historyczny,wiek_poprodukcyjny,22290,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212207000,Powiat limanowski,2023,historyczny,wiek_poprodukcyjny,22906,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212207000,Powiat limanowski,2024,historyczny,wiek_poprodukcyjny,23530,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2015,historyczny,wiek_poprodukcyjny,30723,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2016,historyczny,wiek_poprodukcyjny,31443,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2017,historyczny,wiek_poprodukcyjny,32250,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2018,historyczny,wiek_poprodukcyjny,33106,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2019,historyczny,wiek_poprodukcyjny,33976,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2020,historyczny,wiek_poprodukcyjny,34986,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2021,historyczny,wiek_poprodukcyjny,35666,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2022,historyczny,wiek_poprodukcyjny,36579,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2023,historyczny,wiek_poprodukcyjny,37575,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212210000,Powiat nowosądecki,2024,historyczny,wiek_poprodukcyjny,38800,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212262000,Powiat m. Nowy Sącz,2015,historyczny,wiek_poprodukcyjny,16127,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
