teryt_powiat,powiat,rok,typ,miara,populacja
011212404000,Powiat dąbrowski,2015,historyczny,wiek_poprodukcyjny_ogołem,10256
011212404000,Powiat dąbrowski,2016,historyczny,wiek_poprodukcyjny_ogołem,10417
011212404000,Powiat dąbrowski,2017,historyczny,wiek_poprodukcyjny_ogołem,10669
011212404000,Powiat dąbrowski,2018,historyczny,wiek_poprodukcyjny_ogołem,10907
011212404000,Powiat dąbrowski,2019,historyczny,wiek_poprodukcyjny_ogołem,11120
011212404000,Powiat dąbrowski,2020,historyczny,wiek_poprodukcyjny_ogołem,11441
011212404000,Powiat dąbrowski,2021,historyczny,wiek_poprodukcyjny_ogołem,11515
011212404000,Powiat dąbrowski,2022,historyczny,wiek_poprodukcyjny_ogołem,11703
011212404000,Powiat dąbrowski,2023,historyczny,wiek_poprodukcyjny_ogołem,11943
011212404000,Powiat dąbrowski,2024,historyczny,wiek_poprodukcyjny_ogołem,12227
011212416000,Powiat tarnowski,2015,historyczny,wiek_poprodukcyjny_ogołem,32954
011212416000,Powiat tarnowski,2016,historyczny,wiek_poprodukcyjny_ogołem,33717
011212416000,Powiat tarnowski,2017,historyczny,wiek_poprodukcyjny_ogołem,34602
011212416000,Powiat tarnowski,2018,historyczny,wiek_poprodukcyjny_ogołem,35517
011212416000,Powiat tarnowski,2019,historyczny,wiek_poprodukcyjny_ogołem,36380
011212416000,Powiat tarnowski,2020,historyczny,wiek_poprodukcyjny_ogołem,37149
011212416000,Powiat tarnowski,2021,historyczny,wiek_poprodukcyjny_ogołem,37651
011212416000,Powiat tarnowski,2022,historyczny,wiek_poprodukcyjny_ogołem,38332
011212416000,Powiat tarnowski,2023,historyczny,wiek_poprodukcyjny_ogołem,39358
011212416000,Powiat tarnowski,2024,historyczny,wiek_poprodukcyjny_ogołem,40385
011212463000,Powiat m. Tarnów,2015,historyczny,wiek_poprodukcyjny_ogołem,25025
011212463000,Powiat m. Tarnów,2016,historyczny,wiek_poprodukcyjny_ogołem,25838
011212463000,Powiat m. Tarnów,2017,historyczny,wiek_poprodukcyjny_ogołem,26558
011212463000,Powiat m. Tarnów,2018,historyczny,wiek_poprodukcyjny_ogołem,27246
011212463000,Powiat m. Tarnów,2019,historyczny,wiek_poprodukcyjny_ogołem,27843
011212463000,Powiat m. Tarnów,2020,historyczny,wiek_poprodukcyjny_ogołem,27901
011212463000,Powiat m. Tarnów,2021,historyczny,wiek_poprodukcyjny_ogołem,28017
011212463000,Powiat m. Tarnów,2022,historyczny,wiek_poprodukcyjny_ogołem,28279
011212463000,Powiat m. Tarnów,2023,historyczny,wiek_poprodukcyjny_ogołem,28674
011212463000,Powiat m. Tarnów,2024,historyczny,wiek_poprodukcyjny_ogołem,29117
011216911000,Powiat nowotarski,2015,historyczny,wiek_poprodukcyjny_ogołem,31278
011216911000,Powiat nowotarski,2016,historyczny,wiek_poprodukcyjny_ogołem,32022
011216911000,Powiat nowotarski,2017,historyczny,wiek_poprodukcyjny_ogołem,32883
011216911000,Powiat nowotarski,2018,historyczny,wiek_poprodukcyjny_ogołem,33740
011216911000,Powiat nowotarski,2019,historyczny,wiek_poprodukcyjny_ogołem,34664
011216911000,Powiat nowotarski,2020,historyczny,wiek_poprodukcyjny_ogołem,35108
011216911000,Powiat nowotarski,2021,historyczny,wiek_poprodukcyjny_ogołem,35568
011216911000,Powiat nowotarski,2022,historyczny,wiek_poprodukcyjny_ogołem,36378
011216911000,Powiat nowotarski,2023,historyczny,wiek_poprodukcyjny_ogołem,37344
011216911000,Powiat nowotarski,2024,historyczny,wiek_poprodukcyjny_ogołem,38321
011216915000,Powiat suski,2015,historyczny,wiek_poprodukcyjny_ogołem,14674
011216915000,Powiat suski,2016,historyczny,wiek_poprodukcyjny_ogołem,15005
011216915000,Powiat suski,2017,historyczny,wiek_poprodukcyjny_ogołem,15372
011216915000,Powiat suski,2018,historyczny,wiek_poprodukcyjny_ogołem,15617
011216915000,Powiat suski,2019,historyczny,wiek_poprodukcyjny_ogołem,15984
011216915000,Powiat suski,2020,historyczny,wiek_poprodukcyjny_ogołem,16285
011216915000,Powiat suski,2021,historyczny,wiek_poprodukcyjny_ogołem,16436
