ID,Miejscowość,Nazwa,Telefon,Brak email,Brak www,Adres
220,Nowy Targ,"Miejski Ośrodek Pomocy Społecznej w Nowym Targu",18 266 25 93,TAK,TAK,"Kościuszki 8"
191,Olesno,"Gminny Ośrodek Pomocy Społecznej Olesno",14 641 10 82,TAK,TAK,"Długa 18"
147,Olkusz,"Ośrodek Pomocy Społecznej w Olkuszu",32 641 32 12,,TAK,"al. 1000-lecia 15C"
239,Pleśna,"Gminny Ośrodek Pomocy Społecznej Pleśna",14 679 81 70,TAK,TAK,"Pleśna 240"
228,Polanka Wielka,"Gminny Ośrodek Pomocy Społecznej w Polance Wielkiej",33 848 80 19,TAK,TAK,"Długa 61"
229,Przeciszów,"Gminny Ośrodek Pomocy Społecznej Przeciszów",33 841 32 80,TAK,TAK,"Długa 6"
211,Raciechowice,"Gminny Ośrodek Pomocy Społecznej Raciechowice",12 372 52 11,TAK,TAK,"Raciechowice 277"
125,Racławice,"Gminny Ośrodek Pomocy Społecznej w Racławicach",41 306 72 51,,TAK,"15"
192,Radgoszcz,"GOPS Radgoszcz",14 641 46 60,TAK,TAK,"Pl. Św. Kazimierza 7-8"
197,Ropa,"Gminny Ośrodek Pomocy Społecznej Ropa",18 353 40 14,TAK,TAK,"Ropa 733"
219,Rytro,"Gminny Ośrodek Pomocy Społecznej Rytro",18 448 64 64,TAK,TAK,"Rytro 265"
240,Rzepiennik Strzyżewski,"Gminny Ośrodek Pomocy Społecznej w Rzepienniku Strzyżewskim",14 653 15 19,TAK,TAK,"Rzepiennik Strzyżewski 400"
181,Rzezawa,"Gminny Ośrodek Pomocy Społecznej Rzezawa",14 685 85 55,TAK,TAK,"Długa 21"
212,Siepraw,"Gminny Ośrodek Pomocy Społecznej w Sieprawiu",12 372 18 25,TAK,TAK,"Kawęciny 30"
201,Skawina,"Miejsko-Gminny Ośrodek Pomocy Społecznej Skawina",12 276 21 37,TAK,TAK,"Żwirki i Wigury 13"
200,Skała,"Miejsko-Gminny Ośrodek Pomocy Społecznej Skała",12 389 14 37,TAK,TAK,"Szkolna 4"
225,Spytkowice,"Gminny Ośrodek Pomocy Społecznej Spytkowice",18 265 35 68,TAK,TAK,"Spytkowice 26"
236,Stryszawa,"GOPS Stryszawa",33 876 77 24,TAK,TAK,"Stryszawa 17"
121,Szczawa,"Gminny Ośrodek Pomocy Społecznej w Szczawie",18 262 23 64,,TAK,"290"
193,Szczucin,"MGOPS Szczucin",14 643 64 18,TAK,TAK,"Wolności 3"
186,Szczurowa,"Gminny Ośrodek Pomocy Społecznej Szczurowa",14 671 31 20,TAK,TAK,"Rynek 3"
102,Sękowa,"Gminny Ośrodek Pomocy Społecznej w Sękowej",18 351 80 10,,TAK,"252"
209,Słaboszów,"Gminny Ośrodek Pomocy Społecznej Słaboszów",41 384 71 72,TAK,TAK,"Słaboszów 57"
213,Tokarnia,"Gminny Ośrodek Pomocy Społecznej Tokarnia",12 274 70 63,TAK,TAK,"Tokarnia 380"
245,Tomice,"Gminny Ośrodek Pomocy Społecznej Tomice",33 823 26 47,TAK,TAK,"Wadowicka 49"
188,Trzebinia,"Miejsko-Gminny Ośrodek Pomocy Społecznej Trzebinia",32 612 15 10,TAK,TAK,"Kościuszki 38"
226,Trzyciąż,"GOPS Trzyciąż",12 389 49 34,TAK,TAK,"Trzyciąż 99"
248,Trąbki,"Gminny Ośrodek Pomocy Społecznej Trąbki",,TAK,TAK,"Trąbki"
205,Tymbark,"Gminny Ośrodek Pomocy Społecznej Tymbark",18 332 53 22,TAK,TAK,"Rynek 49"
246,Wieliczka,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Wieliczce",12 278 45 61,TAK,TAK,"Sienkiewicza 26"
202,Szyce,"Gminny Ośrodek Pomocy Społecznej Wielka Wieś",12 419 11 01,TAK,TAK,"Szyce 65"
214,Wiśniowa,"GOPS Wiśniowa",12 271 40 86,TAK,TAK,"Wiśniowa 441"
227,Wolbrom,"Miejski Ośrodek Pomocy Społecznej w Wolbromiu",32 644 10 75,TAK,TAK,"Skalska 20"
241,Zakopane,"Miejski Ośrodek Pomocy Społecznej w Zakopanem",18 201 47 33,TAK,,"Jagiellońska 7"
90,Łapanów,"Gminny Ośrodek Pomocy Społecznej w Łapanowie",14 685 39 04,,TAK,"36"
217,Łososina Dolna,"Gminny Ośrodek Pomocy Społecznej Łososina Dolna",18 444 80 02,TAK,TAK,"Łososina Dolna 300"
204,Łukowica,"Gminny Ośrodek Pomocy Społecznej Łukowica",18 333 50 66,TAK,TAK,"Łukowica 286"
195,Łużna,"Gminny Ośrodek Pomocy Społecznej Łużna",18 354 30 41,TAK,TAK,"Łużna 634"
