teryt_powiat,powiat,rok,populacja_65plus,zmienna_id,zmienna_nazwa
011212416000,Powiat tarnowski,2017,1500,2137,Ludność w wieku 65 lat i więcej
011212416000,Powiat tarnowski,2018,0,2137,Ludność w wieku 65 lat i więcej
011212416000,Powiat tarnowski,2019,0,2137,Ludność w wieku 65 lat i więcej
011212416000,Powiat tarnowski,2020,0,2137,Ludność w wieku 65 lat i więcej
011212416000,Powiat tarnowski,2021,0,2137,Ludność w wieku 65 lat i więcej
011212416000,Powiat tarnowski,2022,284,2137,Ludność w wieku 65 lat i więcej
011212416000,Powiat tarnowski,2023,0,2137,Ludność w wieku 65 lat i więcej
011212463000,Powiat m. Tarnów,2015,0,2137,Ludność w wieku 65 lat i więcej
011212463000,Powiat m. Tarnów,2016,0,2137,Ludność w wieku 65 lat i więcej
011212463000,Powiat m. Tarnów,2017,0,2137,Ludność w wieku 65 lat i więcej
011212463000,Powiat m. Tarnów,2018,0,2137,Ludność w wieku 65 lat i więcej
011212463000,Powiat m. Tarnów,2019,0,2137,Ludność w wieku 65 lat i więcej
011212463000,Powiat m. Tarnów,2020,0,2137,Ludność w wieku 65 lat i więcej
011212463000,Powiat m. Tarnów,2021,0,2137,Ludność w wieku 65 lat i więcej
011212463000,Powiat m. Tarnów,2022,0,2137,Ludność w wieku 65 lat i więcej
011212463000,Powiat m. Tarnów,2023,0,2137,Ludność w wieku 65 lat i więcej
011216911000,Powiat nowotarski,2015,0,2137,Ludność w wieku 65 lat i więcej
011216911000,Powiat nowotarski,2016,0,2137,Ludność w wieku 65 lat i więcej
011216911000,Powiat nowotarski,2017,0,2137,Ludność w wieku 65 lat i więcej
011216911000,Powiat nowotarski,2018,696,2137,Ludność w wieku 65 lat i więcej
011216911000,Powiat nowotarski,2019,40,2137,Ludność w wieku 65 lat i więcej
011216911000,Powiat nowotarski,2020,0,2137,Ludność w wieku 65 lat i więcej
011216911000,Powiat nowotarski,2021,0,2137,Ludność w wieku 65 lat i więcej
