wojewodztwo,rok,wskaznik,wartosc_zl,zrodlo_provider,zrodlo_var_id,zrodlo_subject,zrodlo_url_api,zrodlo_url_www,zrodlo_pobrano
WIELKOPOLSKIE,2021,emerytura_zus,2598.41,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2022,emerytura_zus,2850.11,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2023,emerytura_zus,3349.05,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2024,emerytura_zus,3819.57,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2025,emerytura_zus,4136.5,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
ZACHODNIOPOMORSKIE,2015,emerytura_zus,2019.62,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
ZACHODNIOPOMORSKIE,2016,emerytura_zus,2049.25,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
ZACHODNIOPOMORSKIE,2017,emerytura_zus,2094.54,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
ZACHODNIOPOMORSKIE,2018,emerytura_zus,2164.51,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
ZACHODNIOPOMORSKIE,2019,emerytura_zus,2253.1,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
