id,nazwa,typ,typ_krotki,ulica,miejscowosc,kod_pocztowy,powiat,wojewodztwo,latitude,longitude,liczba_miejsc,koszt_pobytu,profil_opieki,telefon,www
255,Dzienny Dom Senior+ — Limanowa (miasto),Dzienny Dom Senior+,DD Senior+,ul. Spacerowa 8,Limanowa,34-600,limanowski,małopolskie,49.7061713,20.4217266,25,,,18 541 50 08,
308,"Miejski Dzienny Dom Pomocy Społecznej nr 1 ""Socius""",Dzienny Dom Senior+,DD Senior+,ul. Jana Sas-Zubrzyckiego 10,Kraków,,m. Kraków,małopolskie,50.0169654,19.9487329,,,,12 655 21 76,
313,Miejski Dzienny Dom Pomocy Społecznej nr 6 Centrum Kultury i Rekreacji Seniorów,Dzienny Dom Senior+,DD Senior+,os. Szkolne 20,Kraków,,m. Kraków,małopolskie,50.0790189,20.046592,,,,12 644 20 52,
311,Miejski Dzienny Dom Pomocy Społecznej nr 4,Dzienny Dom Senior+,DD Senior+,ul. Sudolska 7a,Kraków,,m. Kraków,małopolskie,50.0915076,19.9676934,,,,12 412 62 34,
312,Miejski Dzienny Dom Pomocy Społecznej nr 5,Dzienny Dom Senior+,DD Senior+,ul. Nad Sudołem 32,Kraków,,m. Kraków,małopolskie,50.0924728,19.9341499,,,,12 415 54 14,
310,Miejski Dzienny Dom Pomocy Społecznej nr 3,Dzienny Dom Senior+,DD Senior+,ul. Korczaka 4,Kraków,,m. Kraków,małopolskie,50.0905288,19.9403139,,,,12 416 15 60,
309,Miejski Dzienny Dom Pomocy Społecznej nr 2,Dzienny Dom Senior+,DD Senior+,ul. Ks. Gurgacza 5,Kraków,,m. Kraków,małopolskie,50.0564092,19.9514671,,,,12 411 00 50,
253,Dzienny Dom Senior+ — Książ Wielki,Dzienny Dom Senior+,DD Senior+,Rzędowice 46,Książ Wielki,32-210,miechowski,małopolskie,50.4396495,20.0911692,15,,,786496778,
262,Dzienny Dom Senior+ — Miechów,Dzienny Dom Senior+,DD Senior+,ul. Jagiellońska 15/17,Miechów,32-200,miechowski,małopolskie,50.3566016,20.0276912,15,,,666933548,
269,Dzienny Dom Senior+ — Myślenice,Dzienny Dom Senior+,DD Senior+,ul. Średniawskiego 35 A,Myślenice,32-400,myślenicki,małopolskie,49.834608,19.9384283,30,,,537553435,
